case_id,ACT_1,ACT_2,ACT_3,ACT_4,Span_in_minutes
Case 261,Turning & Milling Q.C.,Flat Grinding - Machine 11,Laser Marking - Machine 7,Flat Grinding - Machine 11,21
Case 261,Flat Grinding - Machine 11,Laser Marking - Machine 7,Flat Grinding - Machine 11,Packing,0
Case 261,Laser Marking - Machine 7,Flat Grinding - Machine 11,Packing,Final Inspection Q.C.,38
Case 262,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,310
Case 262,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,66
Case 262,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,330
Case 262,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,74
Case 262,Turning & Milling Q.C.,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,3
Case 262,Laser Marking - Machine 7,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Flat Grinding - Machine 11,50
Case 262,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Lapping - Machine 1,21
Case 262,Flat Grinding - Machine 11,Flat Grinding - Machine 11,Lapping - Machine 1,Lapping - Machine 1,53
Case 262,Flat Grinding - Machine 11,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Manual,14
Case 262,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,76
Case 262,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,98
Case 262,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,Packing,148
Case 262,Round Grinding - Manual,Final Inspection Q.C.,Packing,Final Inspection Q.C.,374
Case 263,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,120
Case 263,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,366
Case 263,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,139
Case 263,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,60
Case 263,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,99
Case 263,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,321
Case 263,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Flat Grinding - Machine 11,18
Case 263,Turning & Milling Q.C.,Flat Grinding - Machine 11,Nitration Q.C.,Laser Marking - Machine 7,60
Case 263,Flat Grinding - Machine 11,Nitration Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,41
Case 263,Nitration Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Manual,100
Case 263,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,13
Case 263,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,40
Case 263,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,62
Case 263,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Manual,0
Case 263,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Manual,Final Inspection Q.C.,81
Case 263,Final Inspection Q.C.,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,230
Case 263,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,Packing,393
Case 263,Final Inspection Q.C.,Final Inspection Q.C.,Packing,Packing,279
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,410
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,33
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,130
Case 264,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,613
Case 264,Turning & Milling Q.C.,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,17
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,472
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,54
Case 264,Turning & Milling - Machine 6,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,633
Case 264,Turning & Milling - Machine 6,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,27
Case 264,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 6,Laser Marking - Machine 7,26
Case 264,Turning & Milling Q.C.,Turning & Milling - Machine 6,Laser Marking - Machine 7,Turning & Milling Q.C.,7
Case 265,Turning - Machine 8,Turning - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,307
Case 265,Turning - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,52
Case 265,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,225
Case 265,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,40
Case 265,Turning & Milling - Machine 8,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,54
Case 265,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Manual,0
Case 265,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,16
Case 265,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Manual,69
Case 265,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Manual,77
Case 265,Round Grinding - Manual,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,59
Case 265,Round Grinding - Manual,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,28
Case 265,Round Grinding - Manual,Final Inspection Q.C.,Final Inspection Q.C.,Packing,228
Case 265,Final Inspection Q.C.,Final Inspection Q.C.,Packing,Final Inspection Q.C.,303
Case 266,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,100
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,114
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling - Machine 5,651
Case 266,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling Q.C.,431
Case 266,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling - Machine 5,130
Case 266,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 5,195
Case 266,Turning & Milling Q.C.,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,35
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,59
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,590
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,318
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,1080
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,990
Case 266,Turning & Milling - Machine 5,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling Q.C.,419
Case 266,Turning & Milling - Machine 5,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,93
Case 266,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,230
Case 266,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,20
Case 266,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,20
Case 266,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 5,20
Case 266,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling - Machine 5,Laser Marking - Machine 7,20
Case 266,Turning & Milling Q.C.,Turning & Milling - Machine 5,Laser Marking - Machine 7,Lapping - Machine 1,20
Case 266,Turning & Milling - Machine 5,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,953
Case 266,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,123
Case 266,Lapping - Machine 1,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,294
Case 266,Lapping - Machine 1,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,195
Case 266,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,0
Case 266,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,146
Case 266,Round Grinding - Machine 2,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,440
Case 266,Round Grinding - Machine 2,Lapping - Machine 1,Lapping - Machine 1,Final Inspection Q.C.,167
Case 266,Lapping - Machine 1,Lapping - Machine 1,Final Inspection Q.C.,Final Inspection Q.C.,204
Case 266,Lapping - Machine 1,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,0
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,130
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 3,100
Case 266,Final Inspection Q.C.,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,120
Case 266,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,29
Case 266,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Lapping - Machine 1,148
Case 266,Round Grinding - Machine 3,Round Grinding - Machine 3,Lapping - Machine 1,Turning & Milling Q.C.,503
Case 266,Round Grinding - Machine 3,Lapping - Machine 1,Turning & Milling Q.C.,Round Grinding - Machine 2,355
Case 266,Lapping - Machine 1,Turning & Milling Q.C.,Round Grinding - Machine 2,Lapping - Machine 1,167
Case 266,Turning & Milling Q.C.,Round Grinding - Machine 2,Lapping - Machine 1,Round Grinding - Machine 2,45
Case 266,Round Grinding - Machine 2,Lapping - Machine 1,Round Grinding - Machine 2,Turning & Milling Q.C.,146
Case 266,Lapping - Machine 1,Round Grinding - Machine 2,Turning & Milling Q.C.,Round Grinding - Machine 2,0
Case 266,Round Grinding - Machine 2,Turning & Milling Q.C.,Round Grinding - Machine 2,Final Inspection Q.C.,650
Case 266,Turning & Milling Q.C.,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,1445
Case 266,Round Grinding - Machine 2,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,533
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,30
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Packing,Final Inspection Q.C.,100
Case 266,Final Inspection Q.C.,Packing,Final Inspection Q.C.,Packing,230
Case 266,Packing,Final Inspection Q.C.,Packing,Packing,0
Case 266,Final Inspection Q.C.,Packing,Packing,Final Inspection Q.C.,223
Case 266,Packing,Packing,Final Inspection Q.C.,Final Inspection Q.C.,0
Case 266,Packing,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,0
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,85
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,165
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Packing,Final Inspection Q.C.,0
Case 266,Final Inspection Q.C.,Packing,Final Inspection Q.C.,Final Inspection Q.C.,47
Case 266,Packing,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,0
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,60
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,30
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,20
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,20
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,Grinding Rework - Machine 27,20
Case 266,Final Inspection Q.C.,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Final Inspection Q.C.,20
Case 266,Grinding Rework - Machine 27,Grinding Rework - Machine 27,Final Inspection Q.C.,Final Inspection Q.C.,203
Case 266,Grinding Rework - Machine 27,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,137
Case 266,Final Inspection Q.C.,Final Inspection Q.C.,Grinding Rework - Machine 27,Packing,40
Case 266,Final Inspection Q.C.,Grinding Rework - Machine 27,Packing,Final Inspection Q.C.,120
Case 266,Grinding Rework - Machine 27,Packing,Final Inspection Q.C.,Packing,32
Case 266,Packing,Final Inspection Q.C.,Packing,Turning & Milling Q.C.,0
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,344
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,293
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,324
Case 267,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,318
Case 267,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,125
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,1080
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,990
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,426
Case 267,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,545
Case 267,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,130
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,110
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,660
Case 267,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,663
Case 267,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,26
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,625
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,330
Case 267,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,305
Case 267,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,0
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,0
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,193
Case 267,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,343
Case 267,Turning & Milling Q.C.,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,79
Case 267,Turning & Milling - Machine 4,Turning & Milling - Machine 4,Turning & Milling Q.C.,Turning & Milling Q.C.,505
Case 267,Turning & Milling Q.C.,Wire Cut - Machine 13,Wire Cut - Machine 13,Turning & Milling Q.C.,0
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,Wire Cut - Machine 13,Laser Marking - Machine 7,330
Case 267,Wire Cut - Machine 13,Wire Cut - Machine 13,Laser Marking - Machine 7,Laser Marking - Machine 7,300
Case 267,Wire Cut - Machine 13,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,360
Case 267,Laser Marking - Machine 7,Laser Marking - Machine 7,Laser Marking - Machine 7,Lapping - Machine 1,109
Case 267,Laser Marking - Machine 7,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,39
Case 267,Laser Marking - Machine 7,Lapping - Machine 1,Lapping - Machine 1,Laser Marking - Machine 7,33
Case 267,Lapping - Machine 1,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,0
Case 267,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,Laser Marking - Machine 7,519
Case 267,Laser Marking - Machine 7,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,31
Case 267,Lapping - Machine 1,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Machine 3,0
Case 267,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Q.C.,39
Case 267,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Machine 3,125
Case 267,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,49
Case 267,Round Grinding - Q.C.,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,392
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,226
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,647
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,73
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,113
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,405
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,21
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,276
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,1010
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,83
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,569
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,505
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,0
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,101
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,535
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Q.C.,27
Case 267,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Q.C.,66
Case 267,Round Grinding - Machine 3,Round Grinding - Q.C.,Round Grinding - Q.C.,Round Grinding - Q.C.,177
Case 267,Round Grinding - Q.C.,Round Grinding - Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,190
Case 267,Round Grinding - Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,Packing,306
Case 267,Round Grinding - Q.C.,Final Inspection Q.C.,Packing,Round Grinding - Q.C.,121
Case 267,Final Inspection Q.C.,Packing,Round Grinding - Q.C.,Final Inspection Q.C.,1
Case 267,Packing,Round Grinding - Q.C.,Final Inspection Q.C.,Packing,0
Case 267,Round Grinding - Q.C.,Final Inspection Q.C.,Packing,Final Inspection Q.C.,239
Case 267,Final Inspection Q.C.,Packing,Final Inspection Q.C.,Round Grinding - Q.C.,14
Case 267,Packing,Final Inspection Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,0
Case 267,Final Inspection Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,82
Case 267,Round Grinding - Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Q.C.,1
Case 267,Final Inspection Q.C.,Final Inspection Q.C.,Round Grinding - Q.C.,Round Grinding - Machine 2,2
Case 267,Final Inspection Q.C.,Round Grinding - Q.C.,Round Grinding - Machine 2,Round Grinding - Machine 3,120
Case 267,Round Grinding - Q.C.,Round Grinding - Machine 2,Round Grinding - Machine 3,Final Inspection Q.C.,24
Case 267,Round Grinding - Machine 2,Round Grinding - Machine 3,Final Inspection Q.C.,Round Grinding - Q.C.,5
Case 267,Round Grinding - Machine 3,Final Inspection Q.C.,Round Grinding - Q.C.,Round Grinding - Q.C.,53
Case 267,Final Inspection Q.C.,Round Grinding - Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,86
Case 267,Round Grinding - Q.C.,Round Grinding - Q.C.,Final Inspection Q.C.,Packing,1
Case 268,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,530
Case 268,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,72
Case 268,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,60
Case 268,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,248
Case 268,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,65
Case 268,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,266
Case 268,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,317
Case 268,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,0
Case 268,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,129
Case 268,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,103
Case 268,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,130
Case 268,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,217
Case 268,Turning & Milling Q.C.,Turning & Milling Q.C.,Turning & Milling Q.C.,Flat Grinding - Machine 11,30
Case 268,Turning & Milling Q.C.,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,0
Case 268,Turning & Milling Q.C.,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 3,81
Case 268,Flat Grinding - Machine 11,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,61
Case 268,Lapping - Machine 1,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,40
Case 268,Round Grinding - Machine 3,Round Grinding - Machine 3,Round Grinding - Machine 3,Laser Marking - Machine 7,230
Case 268,Round Grinding - Machine 3,Round Grinding - Machine 3,Laser Marking - Machine 7,Packing,440
Case 268,Round Grinding - Machine 3,Laser Marking - Machine 7,Packing,Final Inspection Q.C.,136
Case 269,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,300
Case 269,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,465
Case 269,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,156
Case 269,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,0
Case 269,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,235
Case 269,Turning & Milling Q.C.,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,73
Case 269,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,120
Case 269,Turning & Milling - Machine 8,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,289
Case 269,Turning & Milling Q.C.,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,70
Case 269,Turning & Milling Q.C.,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Machine 2,100
Case 269,Laser Marking - Machine 7,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,0
Case 269,Lapping - Machine 1,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 12,61
Case 269,Round Grinding - Machine 2,Round Grinding - Machine 2,Round Grinding - Machine 12,Round Grinding - Machine 12,150
Case 269,Round Grinding - Machine 2,Round Grinding - Machine 12,Round Grinding - Machine 12,Final Inspection Q.C.,358
Case 269,Round Grinding - Machine 12,Round Grinding - Machine 12,Final Inspection Q.C.,Final Inspection Q.C.,56
Case 269,Round Grinding - Machine 12,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,79
Case 269,Final Inspection Q.C.,Final Inspection Q.C.,Final Inspection Q.C.,Packing,100
Case 269,Final Inspection Q.C.,Final Inspection Q.C.,Packing,Final Inspection Q.C.,114
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,114
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,180
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,65
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,195
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,270
Case 27,Turning & Milling - Machine 8,Turning & Milling - Machine 8,Turning & Milling Q.C.,Lapping - Machine 1,4
Case 27,Turning & Milling - Machine 8,Turning & Milling Q.C.,Lapping - Machine 1,Round Grinding - Manual,85
Case 27,Turning & Milling Q.C.,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,1
Case 27,Lapping - Machine 1,Round Grinding - Manual,Round Grinding - Manual,Laser Marking - Machine 7,67
